date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:40	43487/43487	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2017:41:40%20GMT	https://www.ourastore.com/	D:/folder%20baru/Ourastore/www.ourastore.com/index.html	(from )
00:41:40	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5dc63b47e96e0%22	https://www.ourastore.com/robots.txt		(from )
00:41:40	3690/3690	---M--	200	added ('OK')	image/png	etag:W/%22e6a-5df1af9d70a2a%22	https://ourastore.com/assets/img/settings/1652681837fav%20icon.png?v=2	D:/folder%20baru/Ourastore/ourastore.com/assets/img/settings/1652681837fav%20icon5e1f.png	(from https://www.ourastore.com/)
00:41:40	266281/266281	---MCZ	200	added ('OK')	text/css	etag:W/%2250a33-5dc63b47e48bf-gzip%22	https://www.ourastore.com/assets/scss/app.css	D:/folder%20baru/Ourastore/www.ourastore.com/assets/scss/app.css	(from https://www.ourastore.com/)
00:41:40	3939/3939	---MCZ	200	added ('OK')	text/css	etag:W/%2213f0-5dc63b47d3f1b-gzip%22	https://www.ourastore.com/assets/css/app.css	D:/folder%20baru/Ourastore/www.ourastore.com/assets/css/app.css	(from https://www.ourastore.com/)
00:41:41	4110/4110	---MCZ	200	added ('OK')	text/css	etag:W/%22138f-5dc63b47e585f-gzip%22	https://www.ourastore.com/assets/scss/chatbox.css	D:/folder%20baru/Ourastore/www.ourastore.com/assets/scss/chatbox.css	(from https://www.ourastore.com/)
00:41:41	6650/6650	---M-Z	200	added ('OK')	text/css	etag:%2219fa-5dc63b4749439-gzip%22	https://www.ourastore.com/assets/admin/assets/plugins/bootstrap-select/bootstrap-select.min.css	D:/folder%20baru/Ourastore/www.ourastore.com/assets/admin/assets/plugins/bootstrap-select/bootstrap-select.min.css	(from https://www.ourastore.com/)
00:41:41	4353956/4353956	---MCZ	200	added ('OK')	application/javascript	etag:W/%22428f44-5dc63b47d9cdc-gzip%22	https://www.ourastore.com/assets/js/app.js	D:/folder%20baru/Ourastore/www.ourastore.com/assets/js/app.js	(from https://www.ourastore.com/)
00:41:42	850/850	---MC-	200	added ('OK')	text/javascript	date:Thu,%2016%20Jun%202022%2017:41:42%20GMT	https://www.google.com/recaptcha/api.js	D:/folder%20baru/Ourastore/www.google.com/recaptcha/api.js	(from https://www.ourastore.com/)
00:41:42	22978/22978	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Jun%202022%2017:41:43%20GMT	https://www.ourastore.com/order/:slug	D:/folder%20baru/Ourastore/www.ourastore.com/order/_slug	(from https://www.ourastore.com/)
